Date,NIFTY_IT_shannon,NIFTY_IT_perm,NIFTY_IT_sample,NIFTY_IT_real_vol,NIFTY_IT_zscore,NIFTY_IT_skew,NIFTY_IT_kurt,NIFTY_BANK_shannon,NIFTY_BANK_perm,NIFTY_BANK_sample,NIFTY_BANK_real_vol,NIFTY_BANK_zscore,NIFTY_BANK_skew,NIFTY_BANK_kurt,NIFTY_FMCG_shannon,NIFTY_FMCG_perm,NIFTY_FMCG_sample,NIFTY_FMCG_real_vol,NIFTY_FMCG_zscore,NIFTY_FMCG_skew,NIFTY_FMCG_kurt,NIFTY_PHARMA_shannon,NIFTY_PHARMA_perm,NIFTY_PHARMA_sample,NIFTY_PHARMA_real_vol,NIFTY_PHARMA_zscore,NIFTY_PHARMA_skew,NIFTY_PHARMA_kurt,NIFTY_AUTO_shannon,NIFTY_AUTO_perm,NIFTY_AUTO_sample,NIFTY_AUTO_real_vol,NIFTY_AUTO_zscore,NIFTY_AUTO_skew,NIFTY_AUTO_kurt,NIFTY_METAL_shannon,NIFTY_METAL_perm,NIFTY_METAL_sample,NIFTY_METAL_real_vol,NIFTY_METAL_zscore,NIFTY_METAL_skew,NIFTY_METAL_kurt
2015-04-21,0.6551168786317204,1.0016078948654807,0.5071568082441479,-0.068447858638725,0.2513987275396675,-1.2756987901491066,0.5902556045718795,0.7139485961298877,0.2927213679347083,0.23621327050854893,0.2919560885765461,0.22768338103960592,0.4287394728352485,-0.48675458798389004,1.0784855001845892,0.5447556386857633,0.6662367432420068,0.9876428868571762,-0.661976780224035,0.04447257423644207,-0.6425803649864831,1.3875301700454352,-1.1789114856437362,-0.22700845418180984,1.516207669392338,-1.9690404871601843,0.9632078686089992,0.7252971631996271,-0.39019140787361767,-0.5514091766166594,0.2856025552179623,-0.3252885832788536,-0.9775192565884194,0.2595181617775082,-1.1117600107761918,-0.8293726662342285,-3.362058027640891,0.8528674746598217,-0.7074089405666418,0.2370911320234003,0.3611206258623777,-0.841791327696129
2015-04-22,0.6551168786317204,1.0016078948654807,0.340839394331951,-0.0694992509484329,-0.16822941463220828,-1.3298791832887402,0.6514976292395164,0.6893016186072654,0.2927213679347083,0.1646741826542908,0.25266207913003735,0.7103838459192663,0.20359117836415605,-0.44600326617536984,1.0685053783572906,0.5447556386857633,0.5017372855946031,0.8569344184751874,0.5270954559918731,-0.1657742694849982,-0.4517451308929659,1.3959948782744738,-0.21454768398374788,-0.3680373876338068,1.509056062743828,0.6609470905797231,0.7017319269687644,0.6287830405318162,-0.4015689929034988,-0.5514091766166594,0.2856025552179623,-0.3796273070455452,0.22266813002293065,0.07501679111863352,-0.9933155333023642,-0.8293726662342293,-1.7837541509427772,0.6709171882823013,-0.7510083515226736,0.4667601650587761,0.10283700292808406,-0.7208251894230604
2015-04-23,0.6267191306324724,1.0016078948654807,1.5779410731707435,-0.07601083177594112,0.04638047680771238,-1.293688571585344,0.760178319016223,0.6893016186072654,0.2927213679347083,0.23621327050854893,0.24730981181361075,0.1825129779457644,0.24307865438195075,-0.42606092540144563,1.0533644403681113,0.5447556386857633,0.6662367432420068,0.8054383575566784,0.017368967234299232,-0.3231838309458637,-0.29931444994943646,1.4172044513258006,-0.21454768398374788,-0.5195221432017253,1.5452862009612187,-0.5683855900611959,0.7964233806283677,0.5710348306526132,-0.3840488810779745,-0.39542741619642835,0.2856025552179623,-0.3744523142040522,-0.32588761741727923,0.14973515163061937,-1.012060879281423,-0.8701112205859771,-1.239332650746895,0.6709171882823013,-0.7823328078462398,1.1270905386658592,-0.16910015821351956,-0.6075680337926656
2015-04-27,0.6850071285614342,1.0016078948654807,-0.5673999605397775,-0.047251328547014214,-1.8042785291031755,-1.050152008215994,0.07872291687317179,0.6553517934356775,0.2927213679347083,0.23621327050854893,0.3261846122200572,-1.5379212207803241,0.3690151835852854,-0.44433517692088903,1.0798057890424395,0.32880999592491106,0.6662367432420068,0.8201203116080824,-1.218399381634333,-0.05936879076255906,-0.3567060029838633,1.4172044513258006,0.4173767419027898,-0.22700845418180984,1.5860345941250864,-1.1877671626467774,1.0481472097350903,0.7056712992018151,-0.44798680158442905,-0.39542741619642835,0.2856025552179623,-0.4773429532546854,-0.18768220890041212,0.2700886116464271,-0.8229088591367679,-0.9882142312887262,-0.3028769699789114,0.6709171882823013,-0.8197113831660453,-0.08344644039531075,-0.002715677124968161,-0.4972907829177685
2015-04-28,0.6850071285614342,0.7944881715323414,-0.24771880487404255,-0.0476147617789755,0.08895209373505487,-1.112491697490185,0.11647421889912049,0.6941799651469093,0.0671931603953662,0.3719297076643919,0.5147387510055457,1.8842773730618692,0.49656221866708106,-0.577212336857549,1.0798057890424393,0.32880999592491106,0.5017372855946031,0.832391356831423,-0.5410221870716018,-0.028456426044615367,-0.390416429678937,1.4236912031298674,0.6661776731312489,-0.22700845418180984,1.6055424142713326,0.48203266304747355,0.9788283240183966,0.6234433751779509,0.13172918016255983,0.1373570387721424,0.2856025552179623,-0.19325796480812035,2.353643310119512,0.733370581679887,-0.4409755410868088,-0.9882142312887262,-0.3028769699789114,0.6709171882823013,-0.8208527503003734,-0.06924538584938031,0.06365242626732111,-0.4978302059988479
2015-04-29,0.6947965146852098,1.0016078948654807,-0.24771880487404255,-0.04553907981497374,0.6176533716284575,-1.1290595137623178,0.09271287668864157,0.6614324840096014,0.23489440346995097,0.3719297076643919,0.4712631830436237,0.34229619700995656,0.32167390745948715,-0.5231006680080134,1.0798057890424393,0.168234282923614,0.6662367432420068,0.9072921311529696,-1.0193948086591538,0.04276867506183631,-0.5488501319999034,1.4236912031298674,0.6661776731312489,-0.22700845418180984,1.6036482387946982,0.4009945592381173,0.9845076450302566,0.630841235888844,0.13172918016255983,-0.22839231902220328,0.2856025552179623,-0.1918608474524745,-0.1818293564155109,0.7535265845451281,-0.440471472205878,-0.9882142312887257,-0.6949111505510127,0.6709171882823013,-0.8131200521983563,-0.37049631076161843,0.14759954409841478,-0.5378316586273425
2015-05-04,0.6947965146852098,1.0016078948654807,-0.015464193029792586,-0.04399264744162208,0.9530792649800924,-1.117536289292261,0.07295739896424275,0.7043404551177693,0.4604226110092978,0.23621327050854893,0.4840202072463732,0.7643832101528077,0.09448402752986343,-0.566577237737254,1.0433843185408125,0.32880999592491106,0.6662367432420068,0.9578223921752647,1.6080283641814843,-0.06442527889352785,-0.5658382394653082,1.436021682634939,0.8511843554454754,1.0488308408195628,1.728509690449036,1.2155493430326398,0.6528033774187924,0.23757724136122266,0.15552692530030002,-0.3526949159965543,0.2856025552179623,-0.13786124802839694,1.5610781037062647,0.5371799282898113,-0.6617568792962686,-1.0161807005666268,-0.9092604788579616,0.6709171882823013,-0.772609653283811,1.2422234897658944,-0.12695712461905834,-0.5832057518677596
2015-05-05,0.6904550447249115,1.0016078948654807,-0.015464193029792586,-0.04459422465666583,0.1925540691039276,-1.220276181213374,0.1396105952269222,0.700007293408493,0.23489440346995097,0.3052416903617879,0.4709710568028613,-0.05283671491430855,0.016180065765312047,-0.5312458137263337,1.0520441515102605,0.168234282923614,-0.7582819741531055,0.9626265204660476,0.2588884808119023,-0.10703803953135958,-0.5775144330116001,1.436021682634939,0.6023834242170112,0.8973460852516434,1.73617596269683,0.27419908440255497,0.596541148201733,0.20468700365203132,0.15552692530030002,-1.0414611313853561,0.2856025552179623,-0.13927602215608978,0.04472407976397692,0.5719193387545085,-0.6478257587396123,-0.609651718281702,-0.3028769699789114,0.8528674746598217,-0.5765536048204185,1.848253895289526,0.09285200864187237,-0.7143560755454896
2015-05-06,0.7487430426538736,1.2087276181986115,-0.35496809549689984,-0.03490224115382007,-1.041530880722852,-1.0090339295499375,-0.14469252273624042,0.8808706480502873,0.8077089117068756,0.1646741826542908,0.729026373829833,-1.9890050730773634,-0.22072680399896208,-0.5815322902234439,1.073324684022708,-0.5408173768941512,-0.6059792649999194,1.179614764938489,-1.5600000515364538,-0.09057442578928088,-0.8027999368362019,1.436021682634939,0.6023834242170112,0.8973460852516434,1.8398855833643732,-1.3148567639446647,0.8024543211621611,0.2289863593643364,0.5798713808707846,-0.7184442737908912,0.2856025552179623,0.07032347072379334,-2.1283293036770887,-0.040436344235263474,-0.4211310857302069,0.08272520922601832,0.19787866938154622,0.8528674746598217,-0.2526146377393924,-2.169171097735593,-0.36430224084982776,-0.5798269695610421
2015-05-07,0.7560695164751042,1.2087276181986115,0.05526083095810614,-0.019703345256276122,1.4102850490163161,-0.8747970551651603,-0.26207213856743083,0.9210263991931606,0.8077089117068756,0.1646741826542908,0.8160866437920875,-1.134049762621922,-0.06026453753889482,-0.7390437208190878,1.0685053783572904,-0.756763019655008,-0.7582819741531055,1.1850190596157728,0.3086537345838804,-0.11924692042921188,-0.8133116248809679,1.4396316413754582,0.8511843554454754,0.8973460852516434,1.8514270699775341,-0.49497827918303394,0.9929539921584102,0.2866345810531098,0.6224729991334097,-2.4906844656058937,0.2856025552179623,0.09800732927414388,-0.7995604000907367,0.2006377932793536,-0.514694674870197,-0.0008169041973409705,0.7423001695774307,0.6709171882823013,-0.2752771026174895,-0.4421205515893576,-0.42570602899260934,-0.490287757122709
