Date,NIFTY_IT_shannon,NIFTY_IT_perm,NIFTY_IT_sample,NIFTY_IT_real_vol,NIFTY_IT_zscore,NIFTY_IT_skew,NIFTY_IT_kurt,NIFTY_BANK_shannon,NIFTY_BANK_perm,NIFTY_BANK_sample,NIFTY_BANK_real_vol,NIFTY_BANK_zscore,NIFTY_BANK_skew,NIFTY_BANK_kurt,NIFTY_FMCG_shannon,NIFTY_FMCG_perm,NIFTY_FMCG_sample,NIFTY_FMCG_real_vol,NIFTY_FMCG_zscore,NIFTY_FMCG_skew,NIFTY_FMCG_kurt,NIFTY_PHARMA_shannon,NIFTY_PHARMA_perm,NIFTY_PHARMA_sample,NIFTY_PHARMA_real_vol,NIFTY_PHARMA_zscore,NIFTY_PHARMA_skew,NIFTY_PHARMA_kurt,NIFTY_AUTO_shannon,NIFTY_AUTO_perm,NIFTY_AUTO_sample,NIFTY_AUTO_real_vol,NIFTY_AUTO_zscore,NIFTY_AUTO_skew,NIFTY_AUTO_kurt,NIFTY_METAL_shannon,NIFTY_METAL_perm,NIFTY_METAL_sample,NIFTY_METAL_real_vol,NIFTY_METAL_zscore,NIFTY_METAL_skew,NIFTY_METAL_kurt,NIFTY_IT,NIFTY_BANK,NIFTY_FMCG,NIFTY_PHARMA,NIFTY_AUTO,NIFTY_METAL,IT_BANK_corr,js_divergence,gmm_regime,hmm_regime
2015-04-21,-552.7071667364813,0.9894641713470744,2.3513752571634776,0.0136967881007174,0.239529078382269,-0.9854775590497769,1.6267278775613745,-585.2850679767839,0.9548700637818396,2.2335922215070942,0.0144559346121845,0.2068325588445566,0.265980314987839,-0.4030663026867658,-631.3470461341041,0.96270443439647,2.5649493574615367,0.0137023951259988,-0.6516956098750762,0.0673083315484096,-0.5433278539696014,-339.65576073563,0.8929610521975837,2.0149030205422647,0.0186944976176454,-1.9406342225943047,0.6479231987150564,1.2241463418097682,-1019.0652970789306,0.9097401275636796,2.3978952727983707,0.0105063492700988,-0.9815888244315432,0.1247545918537343,-1.1015562256674478,-727.9303690736518,0.76935405977058,2.4849066497880004,0.0124952730750109,0.2088572819583768,0.0882545683835139,-0.7419674911984449,-0.0003286942921398,-0.0003865472962427,-0.0115365716315025,-0.0375355536011845,-0.0136303508327628,0.0016569873048641,0.5870215156420189,0.04797653958546441,1,0
2015-04-22,-552.7071667364813,0.9894641713470744,2.2512917986064958,0.0136484351267835,-0.1695846082165183,-1.0295381188308963,1.7407825300725612,-598.3223714838148,0.9548700637818396,2.19722457733622,0.0141571879128582,0.6803910078285136,0.0911970995613545,-0.3325310852337084,-636.390566480796,0.96270443439647,2.4849066497880004,0.0131221029638472,0.5063175397179597,-0.0769574743884963,-0.2998564011622107,-336.2642776359994,0.9337984064759882,1.9459101490553132,0.0186612168587703,0.6367041407220104,0.4732642082717766,1.0901553127687684,-1023.8889472088806,0.9097401275636796,2.3978952727983707,0.0101652335896838,0.2017224139681884,0.0005451187453962,-0.954131078567194,-727.9303690736521,0.8469318125840969,2.3978952727983707,0.0122204184953021,0.4342716193636322,-0.077305754445726,-0.5968336410455239,-0.005761338039143,0.0075901857843128,0.0053358403240117,0.0119238738299802,-0.0005554519114205,0.0052798342187569,0.5741404016650429,0.04797653958546441,1,0
2015-04-23,-563.5635792625296,0.9894641713470744,2.995732273553991,0.0133489709827967,0.0396478884723941,-1.0001072026254116,1.9431850204283172,-598.3223714838148,0.9548700637818396,2.2335922215070942,0.0141164953946546,0.1625176522193215,0.1218513314474081,-0.2980134970773993,-644.0421392910147,0.96270443439647,2.5649493574615367,0.0128934815064726,0.0099053296779483,-0.1849677391057826,-0.1053822542991933,-327.7664172718122,0.9337984064759882,1.8718021769015916,0.0188298176436409,-0.5680187659227084,0.5365155865670256,1.0099831902533687,-1016.4611064621864,0.9175744981783098,2.3978952727983707,0.0101977200207573,-0.3391199478795649,0.0508467948661216,-0.9774629843457352,-737.3309671617078,0.873691549534701,2.3978952727983707,0.0120229463256413,1.0823691520086989,-0.2516180227823226,-0.4609489439834262,-0.0035260661551586,0.0001041627470534,-0.0006283020247526,-0.0111874302642611,-0.0062390037339774,0.014512734551479,0.5597301047541712,0.04797653958546441,1,0
2015-04-27,-541.2801731681092,0.9894641713470744,1.7047480922384253,0.0146716052622566,-1.7646398902899196,-0.8020584863385191,0.6740702333992528,-616.2805237305304,0.9548700637818396,2.2335922215070942,0.0147161691518853,-1.525332702204511,0.2196161915611334,-0.3296438405242297,-630.6798294574634,0.9521686057435442,2.5649493574615367,0.0129586633800464,-1.1935842096917246,-0.003944858016793,-0.178603558858271,-327.7664172718122,0.9605581434265924,2.0149030205422647,0.0190194446063762,-1.1750010581842727,0.7046604246217233,1.1968996587317218,-1043.5682788322192,0.9175744981783098,2.3978952727983707,0.0095518158125763,-0.2028578816972337,0.131870799197061,-0.7420297671212528,-764.5837490601469,0.9197207891481876,2.4849066497880004,0.0117873084492489,-0.1057422247549362,-0.1449652350838788,-0.3286395040670768,-0.0313691385332184,-0.0265473658145261,-0.0177978966911158,-0.0250280332769694,-0.0056255152248176,-0.0003462465629393,0.6151830177878768,0.04797653958546441,1,0
2015-04-28,-541.2801731681092,0.9789283426941484,1.8971199848858813,0.0146548911609364,0.081152805314894,-0.8527543459813802,0.7443767207791478,-595.7419137221507,0.944334235128914,2.302585092994045,0.0161497191357107,1.8320517963146985,0.3186312916403088,-0.5596368555904898,-630.6798294574635,0.9521686057435442,2.4849066497880004,0.013013141804074,-0.5339004035721006,0.0172663864923437,-0.2216120032956574,-325.1674252546368,0.971093972079518,2.0149030205422647,0.0191102263132534,0.4613713666311488,0.6583572484213328,1.0827422292145457,-797.791423432425,0.944334235128914,2.3978952727983707,0.0113351820275377,2.302733395660612,0.4437601320131423,-0.2666460531912791,-764.5837490601469,0.9197207891481876,2.4849066497880004,0.0117801131689201,-0.0918042494927957,-0.1024231470553743,-0.3292866979821349,-0.0040585580981939,0.0265830120325585,-0.0093930955234373,0.0063952048376823,0.0239453921315337,-0.0003464660103942,0.5921745001132468,0.04797653958546441,1,0
2015-04-29,-537.5377068943999,0.9894641713470744,1.8971199848858813,0.0147503506720758,0.596606625425619,-0.8662276195587716,0.700124564784578,-613.0640722012577,0.9521686057435442,2.302585092994045,0.0158191806487273,0.3192746866517759,0.182865033915911,-0.465976621770741,-630.6798294574635,0.944334235128914,2.5649493574615367,0.0133456706204232,-0.9997777231591772,0.0661391611422873,-0.4237449262905612,-325.1674252546368,0.971093972079518,2.0149030205422647,0.0191014115670847,0.3819555490029336,0.6621508841497762,1.093012715460028,-797.791423432425,0.9259640358613576,2.3978952727983707,0.0113439525433753,-0.1970873276993003,0.4573294973079433,-0.2660186501201962,-764.5837490601468,0.900451286485305,2.4849066497880004,0.0118288607882168,-0.3874744002934608,-0.0486128753439705,-0.3772800035018799,0.0037431333872994,0.0030863359413935,-0.0162560214744349,0.0048528474178226,-0.0044474717312379,-0.0040641546290327,0.5928476450412405,0.04797653958546441,1,0
2015-05-04,-537.5377068943999,0.9894641713470744,2.03688192726104,0.0148214702756232,0.9236278854858464,-0.8568567071084743,0.6633327676603478,-590.3674051679614,0.96270443439647,2.2335922215070942,0.0159161704679766,0.7333676611220439,0.0064969303078469,-0.5412288875591806,-649.0856596377067,0.9521686057435442,2.5649493574615367,0.013570004321106,1.5590160078067608,-0.0074144860145912,-0.4454186975136642,-320.2270762526084,0.9789283426941484,2.639057329615259,0.0196824675548562,1.180203917575292,0.4405812355491454,0.5470423864036733,-787.7021122012017,0.9197207891481876,2.3978952727983707,0.0116829393436316,1.5213126555532193,0.3116812341743975,-0.5414475632043798,-771.0371331285539,0.8899154578323792,2.4849066497880004,0.0120842419601946,1.19536922669325,-0.2246042533158881,-0.4317193444876497,0.0087095996453676,0.0107951819870741,0.0203244560176276,0.0226154764593342,0.0171933715977736,0.0162467983079208,0.6092487166822534,0.04797653958546441,1,0
2015-05-05,-539.1974437460577,0.9894641713470744,2.03688192726104,0.0147938040589982,0.182158867164568,-0.940406804986678,0.7874649657670694,-592.6594811150842,0.9521686057435442,2.268683541318364,0.0158169596549564,-0.0683746787989474,-0.0542906419453287,-0.4800748055579587,-644.7093559676555,0.944334235128914,1.8718021769015916,0.0135913326866482,0.245116247978621,-0.0366542317715276,-0.4603154214833211,-320.2270762526084,0.9683925140412226,2.5649493574615367,0.0197181433645993,0.2576983683399603,0.4029995594167364,0.5013807083586275,-787.7021122012017,0.8851266815829532,2.3978952727983707,0.0116740579859966,0.0262804814610506,0.3350683984784085,-0.5241078143098798,-677.2288074670677,0.9197207891481876,2.4849066497880004,0.0133201967957798,1.7901727163195855,-0.083706155906309,-0.5890720689433371,-0.0018961171537963,-0.001614806359699,0.0026332236547848,0.0046996957234934,-0.0003602002667975,0.026830395313631,0.5816520194836493,0.04797653958546441,1,0
2015-05-06,-516.9140376516372,1.0,1.8325814637483104,0.0152395332329267,-1.0210041065735438,-0.7686204572256354,0.2579904178057104,-496.98972016364246,0.9789283426941484,2.19722457733622,0.0177789170955774,-1.967873335573798,-0.2382020704164853,-0.5671141308426204,-633.9550985976309,0.9097401275636796,1.9459101490553132,0.0145546717809325,-1.5262621207624008,-0.0253573368308275,-0.7477392254426136,-320.2270762526084,0.9683925140412226,2.5649493574615367,0.0202007670669507,-1.2995464772486105,0.5405440948054819,0.5351156228657139,-607.7966944099608,0.9013505898806315,2.3978952727983707,0.0129898355507282,-2.1162170309720274,-0.0771799033495733,-0.2419461109696765,-517.4598288051199,0.944334235128914,2.4849066497880004,0.0153623369691447,-2.152828135425992,-0.3767429511500366,-0.4276655184169562,-0.0209333572807395,-0.0370530346852948,-0.0239755680222479,-0.0289876388598084,-0.0289170871130721,-0.0315100705745887,0.6159475799805662,0.04797653958546441,1,0
2015-05-07,-514.1131387153314,1.0,2.079441541679836,0.0159385223831918,1.3693776459123883,-0.6594563946205872,0.0393874018509214,-475.7488716773757,0.9789283426941484,2.19722457733622,0.0184408237999336,-1.1291102925947267,-0.1136347893167263,-0.8397458521057826,-636.3905664807961,0.8992042989107536,1.8718021769015916,0.0145786646398651,0.2935816115667764,-0.0450316419201906,-0.7611502497320961,-318.7807045966033,0.9789283426941484,2.5649493574615367,0.020254476597118,-0.4960809818527319,0.6677928198976033,0.6151489312867895,-589.7352779556871,0.8123377050188625,2.3978952727983707,0.013163623184874,-0.806132293880065,0.0851153223921403,-0.3584025822748811,-536.7375337756713,0.9710939720795182,2.3978952727983707,0.0152194707669954,-0.4577717781112724,-0.416102903098842,-0.3202373502836533,0.0171213515882726,-0.0240314052092163,0.0026182923132207,-0.0137260498033491,-0.0128888886263958,-0.0051772641034668,0.5031842365973257,0.04797653958546441,1,0
